name,author,description,category,availability,type,image
Half a World Away,Cynthia Kadohata,A kid who considers himself an epic fail discovers the transformative power of love when he deals with adoption,Fiction,3,ebook,
Kira-Kira,Cynthia Kadohata,"The book's plot is about a Japanese-American family living in Georgia. The main character and narrator of the story is a girl named Katie Takeshima, the middle child in a Japanese-American family.",Historical Fiction,3,ebook,
Ghost,Jason Reynolds,"Ghost is a heart warming tale of a young boy who must overcome his memories of a traumatic experience, prejudice and turn his life around before its too late.",Sports Fiction,3,ebook,
All American Boys,Jason Reynolds,"The book tells the story of two teenage boys, Rashad Butler and Quinn Collins, as they handle racism and police brutality in their community.",Fiction,3,ebook,
Look Both Ways: A Tale Told in Ten Blocks,Jason Reynolds,"Look Both Ways is an anthology of 10 stories told in ten blocks starring different kids, who all know each other in some way, or go to the same school.",Fiction,3,ebook,
Before We Were Free,Julia Alvarez,"Anita de la Torre never questioned her freedom living in the Dominican Republic. But by her 12th birthday in 1960, most of her relatives have emigrated to the United States",Historical Fiction,3,ebook,
Return to Sender,Julia Alvarez,"After Tyler's father is injured in a tractor accident, his family hires migrant Mexican workers to help save their Vermont farm from foreclosure.",Fiction,3,ebook,
Flora and Ulysses: The Illuminated Adventures,Kate DiCamillo,"Flora Belle Buckman, a self-proclaimed cynic, spends her time reading comic books and struggling to understand her parents’ recent divorce. ",Fantasy Fiction,3,ebook,
Because of Winn Dixie,Kate DiCamillo,"A 10-year-old girl named India Opal Buloni has just moved to a trailer park in the small town of Naomi, Florida, with her father, who is known as The Preacher because he preaches at the local church.",Fiction,3,ebook,
The Tale of Despereaux,Kate DiCamillo,"The main plot follows the adventures of a mouse named Despereaux Tilling, as he sets out on his quest to rescue a beautiful human princess from the rats.",Fantasy Fiction,3,ebook,
Speak,Laurie Halse Anderson,"After Melinda is raped at an end of summer party, she calls the police, who break up the party.",Young Adult Fiction,3,ebook,
Fever 1793,Laurie Halse Anderson,"It is August 1793, Fourteen-year-old Mattie Cook is ambitious, adventurous, and sick to death of listening to her mother. Her plans are to turn the Cook Coffeehouse into the finest business in Philadelphia.",Historical Fiction,3,ebook,
The Poet Slave of Cuba,Margarita Engle,A lyrical biography of a Cuban slave who escaped to become a celebrated poet.,Biography,3,ebook,
Drum Drum Girl,Margarita Engle,"Girls cannot be drummers. Long ago on an island filled with music, no one questioned that rule—until the drum dream girl.",Poetry,3,ebook,
